卫视,#genre#
广东卫视,http://140.75.211.183:85/tsfile/live/1034_1.m3u8?key=txiptv&playlive=0&authid=0
山东卫视,http://140.75.211.183:85/tsfile/live/1038_1.m3u8?key=txiptv&playlive=0&authid=0
三沙卫视,http://140.75.211.183:85/tsfile/live/1002_1.m3u8?key=txiptv&playlive=0&authid=0
东南卫视,http://140.75.211.183:85/tsfile/live/1047_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视,http://140.75.211.183:85/tsfile/live/1036_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://140.75.211.183:85/tsfile/live/1048_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://140.75.211.183:85/tsfile/live/1044_1.m3u8?key=txiptv&playlive=1&authid=0
天津卫视,http://140.75.211.183:85/tsfile/live/1034_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://140.75.211.183:85/tsfile/live/1035_1.m3u8?key=txiptv&playlive=1&authid=0
重庆卫视,http://140.75.211.183:85/tsfile/live/1046_1.m3u8?key=txiptv&playlive=1&authid=0
延边卫视,http://140.75.211.183:85/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
央视,#genre#
CCTV1,http://140.75.211.183:85/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://140.75.211.183:85/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://140.75.211.183:85/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://140.75.211.183:85/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://140.75.211.183:85/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://140.75.211.183:85/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://140.75.211.183:85/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
其他,#genre#
国学频道,http://140.75.211.183:85/tsfile/live/1073_1.m3u8?key=txiptv&playlive=1&authid=0
河北经济,http://140.75.211.183:85/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
河北都市,http://140.75.211.183:85/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
风云足球,http://140.75.211.183:85/tsfile/live/1065_1.m3u8?key=txiptv&playlive=1&authid=0
五星体育,http://140.75.211.183:85/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
嘉佳卡通,http://140.75.211.183:85/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
快乐垂钓,http://140.75.211.183:85/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
都市剧场,http://140.75.211.183:85/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
卡酷少儿,http://140.75.211.183:85/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
湖南娱乐,http://140.75.211.183:85/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
湖南电影,http://140.75.211.183:85/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
湖南教育,http://140.75.211.183:85/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
湖南电视剧,http://140.75.211.183:85/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
湖南经视,http://140.75.211.183:85/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
湖南都市,http://140.75.211.183:85/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
金鹰纪实,http://140.75.211.183:85/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
