央视,#genre#
CCTV3,http://110.248.147.90:85/tsfile/live/1015_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV6,http://110.248.147.90:85/tsfile/live/1018_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5,http://110.248.147.90:85/tsfile/live/1017_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV9,http://110.248.147.90:85/tsfile/live/1021_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2,http://110.248.147.90:85/tsfile/live/1014_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV12,http://110.248.147.90:85/tsfile/live/1024_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV1,http://110.248.147.90:85/tsfile/live/1013_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV10,http://110.248.147.90:85/tsfile/live/1022_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV11,http://110.248.147.90:85/tsfile/live/1023_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV7,http://110.248.147.90:85/tsfile/live/1019_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV11,http://110.248.147.90:85/tsfile/live/0011_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV10,http://110.248.147.90:85/tsfile/live/0010_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV9,http://110.248.147.90:85/tsfile/live/0009_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV12,http://110.248.147.90:85/tsfile/live/0012_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV6,http://110.248.147.90:85/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV15,http://110.248.147.90:85/tsfile/live/0015_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV1,http://110.248.147.90:85/tsfile/live/faacts/1000_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://110.248.147.90:85/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://110.248.147.90:85/tsfile/live/faacts/1001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://110.248.147.90:85/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://110.248.147.90:85/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://110.248.147.90:85/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://110.248.147.90:85/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://110.248.147.90:85/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://110.248.147.90:85/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://110.248.147.90:85/tsfile/live/1085_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://110.248.147.90:85/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://110.248.147.90:85/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://110.248.147.90:85/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://110.248.147.90:85/tsfile/live/faacts/1087_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://110.248.147.90:85/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://110.248.147.90:85/tsfile/live/1087_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://110.248.147.90:85/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
