央视,#genre#
CCTV2,http://154.50.18.45:85/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5+,http://154.50.18.45:85/tsfile/live/0016_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV6,http://154.50.18.45:85/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV7,http://154.50.18.45:85/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV9,http://154.50.18.45:85/tsfile/live/0009_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV3,http://154.50.18.45:85/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV12,http://154.50.18.45:85/tsfile/live/0012_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV10,http://154.50.18.45:85/tsfile/live/0010_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV11,http://154.50.18.45:85/tsfile/live/0011_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV1,http://154.50.18.45:85/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://154.50.18.45:85/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://154.50.18.45:85/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://154.50.18.45:85/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://154.50.18.45:85/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://154.50.18.45:85/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://154.50.18.45:85/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://154.50.18.45:85/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://154.50.18.45:85/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://154.50.18.45:85/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://154.50.18.45:85/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://154.50.18.45:85/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://154.50.18.45:85/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://154.50.18.45:85/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://154.50.18.45:85/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://154.50.18.45:85/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://154.50.18.45:85/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://154.50.18.45:85/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
卫视,#genre#
云南卫视,http://154.50.18.45:85/tsfile/live/0119_1.m3u8?key=txiptv&playlive=0&authid=0
三沙卫视,http://154.50.18.45:85/tsfile/live/1002_1.m3u8?key=txiptv&playlive=0&authid=0
东方卫视,http://154.50.18.45:85/tsfile/live/0107_1.m3u8?key=txiptv&playlive=0&authid=0
广东卫视,http://154.50.18.45:85/tsfile/live/0125_1.m3u8?key=txiptv&playlive=0&authid=0
海南卫视,http://154.50.18.45:85/tsfile/live/1001_1.m3u8?key=txiptv&playlive=0&authid=0
深圳卫视,http://154.50.18.45:85/tsfile/live/0126_1.m3u8?key=txiptv&playlive=0&authid=0
湖南卫视,http://154.50.18.45:85/tsfile/live/0128_1.m3u8?key=txiptv&playlive=0&authid=0
黑龙江卫视,http://154.50.18.45:85/tsfile/live/0143_1.m3u8?key=txiptv&playlive=0&authid=0
云南卫视,http://154.50.18.45:85/tsfile/live/0119_1.m3u8?key=txiptv&playlive=1&authid=0
河北卫视,http://154.50.18.45:85/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
上海卫视,http://154.50.18.45:85/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://154.50.18.45:85/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://154.50.18.45:85/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://154.50.18.45:85/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
延边卫视,http://154.50.18.45:85/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://154.50.18.45:85/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江卫视,http://154.50.18.45:85/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0
其他,#genre#
金鹰卡通,http://154.50.18.45:85/tsfile/live/1007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTN,http://154.50.18.45:85/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
河北经济,http://154.50.18.45:85/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
上海新闻,http://154.50.18.45:85/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
五星体育,http://154.50.18.45:85/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
卡酷卡通,http://154.50.18.45:85/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
嘉佳卡通,http://154.50.18.45:85/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
第一财经,http://154.50.18.45:85/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
金鹰卡通,http://154.50.18.45:85/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
都市剧场,http://154.50.18.45:85/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
卡酷少儿,http://154.50.18.45:85/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
湖南娱乐,http://154.50.18.45:85/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
湖南公共,http://154.50.18.45:85/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
湖南电视剧,http://154.50.18.45:85/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
湖南电影,http://154.50.18.45:85/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
湖南经视,http://154.50.18.45:85/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
湖南都市,http://154.50.18.45:85/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
金鹰卡通,http://154.50.18.45:85/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
