央视,#genre#
CCTV5,http://58.52.17.120:85/tsfile/live/1017_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV1,http://58.52.17.120:85/tsfile/live/1013_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV3,http://58.52.17.120:85/tsfile/live/1015_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2,http://58.52.17.120:85/tsfile/live/1014_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV3,http://58.52.17.120:85/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2,http://58.52.17.120:85/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV13,http://58.52.17.120:85/tsfile/live/0013_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV6,http://58.52.17.120:85/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV1,http://58.52.17.120:85/tsfile/live/faacts/1000_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://58.52.17.120:85/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://58.52.17.120:85/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://58.52.17.120:85/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://58.52.17.120:85/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://58.52.17.120:85/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://58.52.17.120:85/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://58.52.17.120:85/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://58.52.17.120:85/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://58.52.17.120:85/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://58.52.17.120:85/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://58.52.17.120:85/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
卫视,#genre#
三沙卫视,http://58.52.17.120:85/tsfile/live/1002_1.m3u8?key=txiptv&playlive=0&authid=0
云南卫视,http://58.52.17.120:85/tsfile/live/0119_1.m3u8?key=txiptv&playlive=0&authid=0
东方卫视,http://58.52.17.120:85/tsfile/live/0107_1.m3u8?key=txiptv&playlive=0&authid=0
安徽卫视,http://58.52.17.120:85/tsfile/live/0130_1.m3u8?key=txiptv&playlive=0&authid=0
海南卫视,http://58.52.17.120:85/tsfile/live/1001_1.m3u8?key=txiptv&playlive=0&authid=0
湖北卫视,http://58.52.17.120:85/tsfile/live/0132_1.m3u8?key=txiptv&playlive=0&authid=0
浙江卫视,http://58.52.17.120:85/tsfile/live/0124_1.m3u8?key=txiptv&playlive=0&authid=0
甘肃卫视,http://58.52.17.120:85/tsfile/live/0141_1.m3u8?key=txiptv&playlive=0&authid=0
重庆卫视,http://58.52.17.120:85/tsfile/live/0142_1.m3u8?key=txiptv&playlive=0&authid=0
