央视,#genre#
CCTV1,http://39.80.140.74:85/tsfile/live/26/2001_1.m3u8?key=txiptv
CCTV2,http://39.80.140.74:85/tsfile/live/27/2002_1.m3u8?key=txiptv
CCTV3,http://39.80.140.74:85/tsfile/live/28/2003_1.m3u8?key=txiptv
CCTV4,http://39.80.140.74:85/tsfile/live/29/2004_1.m3u8?key=txiptv
CCTV5,http://39.80.140.74:85/tsfile/live/30/2005_1.m3u8?key=txiptv
CCTV6,http://39.80.140.74:85/tsfile/live/31/2006_1.m3u8?key=txiptv
CCTV7,http://39.80.140.74:85/tsfile/live/32/2007_1.m3u8?key=txiptv
CCTV13,http://39.80.140.74:85/tsfile/live/33/2008_1.m3u8?key=txiptv

卫视,#genre#
东方卫视,http://39.80.140.74:85/tsfile/live/45/2020_1.m3u8?key=txiptv
北京卫视,http://39.80.140.74:85/tsfile/live/44/2019_1.m3u8?key=txiptv
安徽卫视,http://39.80.140.74:85/tsfile/live/46/2021_1.m3u8?key=txiptv
山东卫视,http://39.80.140.74:85/tsfile/live/34/2009_1.m3u8?key=txiptv
江苏卫视,http://39.80.140.74:85/tsfile/live/42/2017_1.m3u8?key=txiptv
浙江卫视,http://39.80.140.74:85/tsfile/live/43/2018_1.m3u8?key=txiptv
湖北卫视,http://39.80.140.74:85/tsfile/live/48/2023_1.m3u8?key=txiptv
湖南卫视,http://39.80.140.74:85/tsfile/live/41/2016_1.m3u8?key=txiptv
辽宁卫视,http://39.80.140.74:85/tsfile/live/47/2022_1.m3u8?key=txiptv

其他,#genre#
威海新闻,http://39.80.140.74:85/tsfile/live/40/2015_1.m3u8?key=txiptv
山东新闻,http://39.80.140.74:85/tsfile/live/38/2013_1.m3u8?key=txiptv
山东生活,http://39.80.140.74:85/tsfile/live/36/2011_1.m3u8?key=txiptv
山东综艺,http://39.80.140.74:85/tsfile/live/37/2012_1.m3u8?key=txiptv
荣成综合,http://39.80.140.74:85/tsfile/live/39/2014_1.m3u8?key=txiptv
金鹰卡通,http://39.80.140.74:85/tsfile/live/49/2024_1.m3u8?key=txiptv
齐鲁频道,http://39.80.140.74:85/tsfile/live/35/2010_1.m3u8?key=txiptv
