央视,#genre#
CCTV1,http://120.70.60.179:85/tsfile/live/1013_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV6,http://120.70.60.179:85/tsfile/live/1018_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5,http://120.70.60.179:85/tsfile/live/1017_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV15,http://120.70.60.179:85/tsfile/live/1027_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV13,http://120.70.60.179:85/tsfile/live/1025_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2,http://120.70.60.179:85/tsfile/live/1014_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV10,http://120.70.60.179:85/tsfile/live/1022_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV7,http://120.70.60.179:85/tsfile/live/1019_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV14,http://120.70.60.179:85/tsfile/live/1026_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV11,http://120.70.60.179:85/tsfile/live/1023_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV8,http://120.70.60.179:85/tsfile/live/1020_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV1,http://120.70.60.179:85/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://120.70.60.179:85/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://120.70.60.179:85/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://120.70.60.179:85/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://120.70.60.179:85/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://120.70.60.179:85/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV17,http://120.70.60.179:85/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV17,http://120.70.60.179:85/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0
卫视,#genre#
江苏卫视,http://120.70.60.179:85/tsfile/live/1029_1.m3u8?key=txiptv&playlive=0&authid=0
东方卫视,http://120.70.60.179:85/tsfile/live/1030_1.m3u8?key=txiptv&playlive=0&authid=0
四川卫视,http://120.70.60.179:85/tsfile/live/1035_1.m3u8?key=txiptv&playlive=0&authid=0
湖南卫视,http://120.70.60.179:85/tsfile/live/1031_1.m3u8?key=txiptv&playlive=0&authid=0
三沙卫视,http://120.70.60.179:85/tsfile/live/1002_1.m3u8?key=txiptv&playlive=0&authid=0
海南卫视,http://120.70.60.179:85/tsfile/live/1001_1.m3u8?key=txiptv&playlive=0&authid=0
江苏卫视,http://120.70.60.179:85/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://120.70.60.179:85/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://120.70.60.179:85/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://120.70.60.179:85/tsfile/live/1035_1.m3u8?key=txiptv&playlive=1&authid=0
河北卫视,http://120.70.60.179:85/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
三沙卫视,http://120.70.60.179:85/tsfile/live/1031_1.m3u8?key=txiptv&playlive=1&authid=0
延边卫视,http://120.70.60.179:85/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
其他,#genre#
广西新闻,http://120.70.60.179:85/tsfile/live/1006_1.m3u8?key=txiptv&playlive=0&authid=0
金鹰卡通,http://120.70.60.179:85/tsfile/live/1007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTN,http://120.70.60.179:85/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
河北农民,http://120.70.60.179:85/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0
河北公共,http://120.70.60.179:85/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
河北少儿,http://120.70.60.179:85/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
河北经济,http://120.70.60.179:85/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
河北都市,http://120.70.60.179:85/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
河南梨园频道,http://120.70.60.179:85/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0
邯郸公共,http://120.70.60.179:85/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0
邯郸新闻,http://120.70.60.179:85/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
邯郸科教,http://120.70.60.179:85/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0
上海新闻,http://120.70.60.179:85/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
东方财经,http://120.70.60.179:85/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0
东方影视,http://120.70.60.179:85/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0
上海纪实人文,http://120.70.60.179:85/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
东方购物,http://120.70.60.179:85/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0
五星体育,http://120.70.60.179:85/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
哈哈炫动,http://120.70.60.179:85/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&authid=0
卡酷卡通,http://120.70.60.179:85/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
影迷电影,http://120.70.60.179:85/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0
教育台,http://120.70.60.179:85/tsfile/live/1029_1.m3u8?key=txiptv&playlive=1&authid=0
快乐垂钓,http://120.70.60.179:85/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
法制天地,http://120.70.60.179:85/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
游戏风云,http://120.70.60.179:85/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0
生活时尚,http://120.70.60.179:85/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
都市频道,http://120.70.60.179:85/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
股市,http://120.70.60.179:85/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0
财富天下,http://120.70.60.179:85/tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&authid=0
