央视,#genre#
CCTV1,http://39.164.160.249:85/tsfile/live/1013_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5,http://39.164.160.249:85/tsfile/live/1017_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV3,http://39.164.160.249:85/tsfile/live/1015_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV9,http://39.164.160.249:85/tsfile/live/1021_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2,http://39.164.160.249:85/tsfile/live/1014_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2,http://39.164.160.249:85/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://39.164.160.249:85/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://39.164.160.249:85/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://39.164.160.249:85/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://39.164.160.249:85/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://39.164.160.249:85/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
卫视,#genre#
三沙卫视,http://39.164.160.249:85/tsfile/live/1002_1.m3u8?key=txiptv&playlive=0&authid=0
海南卫视,http://39.164.160.249:85/tsfile/live/1001_1.m3u8?key=txiptv&playlive=0&authid=0
河北卫视,http://39.164.160.249:85/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://39.164.160.249:85/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0
延边卫视,http://39.164.160.249:85/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
其他,#genre#
广西新闻,http://39.164.160.249:85/tsfile/live/1006_1.m3u8?key=txiptv&playlive=0&authid=0
金鹰卡通,http://39.164.160.249:85/tsfile/live/1007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTN,http://39.164.160.249:85/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
山东教育,http://39.164.160.249:85/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&authid=0
河北公共,http://39.164.160.249:85/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
河北农民,http://39.164.160.249:85/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0
河北少儿,http://39.164.160.249:85/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
河北影视,http://39.164.160.249:85/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
