央视,#genre#
CCTV5,http://49.87.154.246:85/tsfile/live/1017_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV6,http://49.87.154.246:85/tsfile/live/1018_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV1,http://49.87.154.246:85/tsfile/live/1013_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV3,http://49.87.154.246:85/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV7,http://49.87.154.246:85/tsfile/live/1019_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5+,http://49.87.154.246:85/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://49.87.154.246:85/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://49.87.154.246:85/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://49.87.154.246:85/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
卫视,#genre#
吉林卫视,http://49.87.154.246:85/tsfile/live/0116_1.m3u8?key=txiptv&playlive=0&authid=0
安徽卫视,http://49.87.154.246:85/tsfile/live/0130_1.m3u8?key=txiptv&playlive=0&authid=0
江苏卫视,http://49.87.154.246:85/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://49.87.154.246:85/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://49.87.154.246:85/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0
吉林卫视,http://49.87.154.246:85/tsfile/live/0116_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://49.87.154.246:85/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0
其他,#genre#
广西新闻,http://49.87.154.246:85/tsfile/live/1006_1.m3u8?key=txiptv&playlive=0&authid=0
河北公共,http://49.87.154.246:85/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
河北农民,http://49.87.154.246:85/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0
邯郸科教,http://49.87.154.246:85/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0
东方影视,http://49.87.154.246:85/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0
上海纪实人文,http://49.87.154.246:85/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
东方财经,http://49.87.154.246:85/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0
快乐垂钓,http://49.87.154.246:85/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
游戏风云,http://49.87.154.246:85/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0
股市,http://49.87.154.246:85/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0
哈哈炫动,http://49.87.154.246:85/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&authid=0
金鹰纪实,http://49.87.154.246:85/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
