央视,#genre#
CCTV1,http://121.24.99.124:85/tsfile/live/faacts/1000_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://121.24.99.124:85/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://121.24.99.124:85/tsfile/live/faacts/1001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://121.24.99.124:85/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://121.24.99.124:85/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://121.24.99.124:85/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://121.24.99.124:85/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://121.24.99.124:85/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://121.24.99.124:85/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://121.24.99.124:85/tsfile/live/1085_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://121.24.99.124:85/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://121.24.99.124:85/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://121.24.99.124:85/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://121.24.99.124:85/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://121.24.99.124:85/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://121.24.99.124:85/tsfile/live/1086_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://121.24.99.124:85/tsfile/live/faacts/1087_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://121.24.99.124:85/tsfile/live/1087_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://121.24.99.124:85/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV17,http://121.24.99.124:85/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV老故事,http://121.24.99.124:85/tsfile/live/1070_1.m3u8?key=txiptv&playlive=1&authid=0

卫视,#genre#
东南卫视,http://121.24.99.124:85/tsfile/live/1047_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://121.24.99.124:85/tsfile/live/1045_1.m3u8?key=txiptv&playlive=1&authid=0
云南卫视,http://121.24.99.124:85/tsfile/live/0119_1.m3u8?key=txiptv&playlive=1&authid=0
内蒙卫视,http://121.24.99.124:85/tsfile/live/1050_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://121.24.99.124:85/tsfile/live/1033_1.m3u8?key=txiptv&playlive=1&authid=0
吉林卫视,http://121.24.99.124:85/tsfile/live/1049_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://121.24.99.124:85/tsfile/live/1040_1.m3u8?key=txiptv&playlive=1&authid=0
天津卫视,http://121.24.99.124:85/tsfile/live/1034_1.m3u8?key=txiptv&playlive=1&authid=0
宁夏卫视,http://121.24.99.124:85/tsfile/live/0112_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://121.24.99.124:85/tsfile/live/1032_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视,http://121.24.99.124:85/tsfile/live/1036_1.m3u8?key=txiptv&playlive=1&authid=0
山西卫视,http://121.24.99.124:85/tsfile/live/1089_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://121.24.99.124:85/tsfile/live/1048_1.m3u8?key=txiptv&playlive=1&authid=0
广西卫视,http://121.24.99.124:85/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0
新疆卫视,http://121.24.99.124:85/tsfile/live/0110_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://121.24.99.124:85/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视,http://121.24.99.124:85/tsfile/live/1041_1.m3u8?key=txiptv&playlive=1&authid=0
河北卫视,http://121.24.99.124:85/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视,http://121.24.99.124:85/tsfile/live/1037_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://121.24.99.124:85/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&authid=0
海南卫视,http://121.24.99.124:85/tsfile/live/1080_1.m3u8?key=txiptv&playlive=1&authid=0
