央视,#genre#
CCTV2,http://171.15.27.181:85/tsfile/live/37/1008.m3u8?key=txiptv
CCTV1,http://171.15.27.181:85/tsfile/live/33/1007.m3u8?key=txiptv
CCTV5,http://171.15.27.181:85/tsfile/live/49/1011.m3u8?key=txiptv
CCTV6,http://171.15.27.181:85/tsfile/live/53/1012.m3u8?key=txiptv
CCTV8,http://171.15.27.181:85/tsfile/live/61/1014.m3u8?key=txiptv
CCTV7,http://171.15.27.181:85/tsfile/live/57/1013.m3u8?key=txiptv
CCTV4,http://171.15.27.181:85/tsfile/live/45/1010.m3u8?key=txiptv
CCTV3,http://171.15.27.181:85/tsfile/live/41/1009.m3u8?key=txiptv
卫视,#genre#
天津卫视,http://171.15.27.181:85/tsfile/live/5/1000.m3u8?key=txiptv
其他,#genre#
天津教育,http://171.15.27.181:85/tsfile/live/29/1006.m3u8?key=txiptv
天津影视,http://171.15.27.181:85/tsfile/live/17/1003.m3u8?key=txiptv
天津体育,http://171.15.27.181:85/tsfile/live/25/1005.m3u8?key=txiptv
天津新闻,http://171.15.27.181:85/tsfile/live/9/1001.m3u8?key=txiptv
天津都市,http://171.15.27.181:85/tsfile/live/21/1004.m3u8?key=txiptv
天津文艺,http://171.15.27.181:85/tsfile/live/13/1002.m3u8?key=txiptv
