卫视,#genre#
广东卫视,http://183.234.143.5:85/tsfile/live/1034_1.m3u8?key=txiptv&playlive=0&authid=0
江西卫视,http://183.234.143.5:85/tsfile/live/1036_1.m3u8?key=txiptv&playlive=0&authid=0
浙江卫视,http://183.234.143.5:85/tsfile/live/1052_1.m3u8?key=txiptv&playlive=0&authid=0
贵州卫视,http://183.234.143.5:85/tsfile/live/1037_1.m3u8?key=txiptv&playlive=0&authid=0
广东卫视,http://183.234.143.5:85/tsfile/live/0125_1.m3u8?key=txiptv&playlive=0&authid=0
海南卫视,http://183.234.143.5:85/tsfile/live/1001_1.m3u8?key=txiptv&playlive=0&authid=0
重庆卫视,http://183.234.143.5:85/tsfile/live/1033_1.m3u8?key=txiptv&playlive=0&authid=0
东南卫视,http://183.234.143.5:85/tsfile/live/1047_1.m3u8?key=txiptv&playlive=1&authid=0
吉林卫视,http://183.234.143.5:85/tsfile/live/1049_1.m3u8?key=txiptv&playlive=1&authid=0
天津卫视,http://183.234.143.5:85/tsfile/live/1034_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://183.234.143.5:85/tsfile/live/1048_1.m3u8?key=txiptv&playlive=1&authid=0
河北卫视,http://183.234.143.5:85/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://183.234.143.5:85/tsfile/live/1033_1.m3u8?key=txiptv&playlive=1&authid=0
内蒙卫视,http://183.234.143.5:85/tsfile/live/1050_1.m3u8?key=txiptv&playlive=1&authid=0
重庆卫视,http://183.234.143.5:85/tsfile/live/1046_1.m3u8?key=txiptv&playlive=1&authid=0
山西卫视,http://183.234.143.5:85/tsfile/live/1089_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视,http://183.234.143.5:85/tsfile/live/1037_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视,http://183.234.143.5:85/tsfile/live/1036_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://183.234.143.5:85/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
延边卫视,http://183.234.143.5:85/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
央视,#genre#
CCTV3,http://183.234.143.5:85/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5+,http://183.234.143.5:85/tsfile/live/0016_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV6,http://183.234.143.5:85/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV9,http://183.234.143.5:85/tsfile/live/0009_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV13,http://183.234.143.5:85/tsfile/live/0013_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV14,http://183.234.143.5:85/tsfile/live/0014_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV12,http://183.234.143.5:85/tsfile/live/0012_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV15,http://183.234.143.5:85/tsfile/live/0015_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2,http://183.234.143.5:85/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV7,http://183.234.143.5:85/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV10,http://183.234.143.5:85/tsfile/live/0010_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV11,http://183.234.143.5:85/tsfile/live/0011_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV6,http://183.234.143.5:85/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://183.234.143.5:85/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://183.234.143.5:85/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://183.234.143.5:85/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://183.234.143.5:85/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://183.234.143.5:85/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV老故事,http://183.234.143.5:85/tsfile/live/1070_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://183.234.143.5:85/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://183.234.143.5:85/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://183.234.143.5:85/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://183.234.143.5:85/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://183.234.143.5:85/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://183.234.143.5:85/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://183.234.143.5:85/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://183.234.143.5:85/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://183.234.143.5:85/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://183.234.143.5:85/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
其他,#genre#
金鹰卡通,http://183.234.143.5:85/tsfile/live/1007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTN,http://183.234.143.5:85/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
CETV-2,http://183.234.143.5:85/tsfile/live/1062_1.m3u8?key=txiptv&playlive=1&authid=0
世界地理,http://183.234.143.5:85/tsfile/live/1069_1.m3u8?key=txiptv&playlive=1&authid=0
怀旧剧场,http://183.234.143.5:85/tsfile/live/1063_1.m3u8?key=txiptv&playlive=1&authid=0
早期教育,http://183.234.143.5:85/tsfile/live/1081_1.m3u8?key=txiptv&playlive=1&authid=0
BTV卡通少儿,http://183.234.143.5:85/tsfile/live/1051_1.m3u8?key=txiptv&playlive=1&authid=0
湖南金鹰卡通,http://183.234.143.5:85/tsfile/live/1052_1.m3u8?key=txiptv&playlive=1&authid=0
环球奇观,http://183.234.143.5:85/tsfile/live/1071_1.m3u8?key=txiptv&playlive=1&authid=0
电视指南,http://183.234.143.5:85/tsfile/live/1060_1.m3u8?key=txiptv&playlive=1&authid=0
第一剧场,http://183.234.143.5:85/tsfile/live/1061_1.m3u8?key=txiptv&playlive=1&authid=0
风云足球,http://183.234.143.5:85/tsfile/live/1065_1.m3u8?key=txiptv&playlive=1&authid=0
国防军事,http://183.234.143.5:85/tsfile/live/1068_1.m3u8?key=txiptv&playlive=1&authid=0
山东农科(电信),http://183.234.143.5:85/tsfile/live/1074_1.m3u8?key=txiptv&playlive=1&authid=0
山东文旅(电信),http://183.234.143.5:85/tsfile/live/1069_1.m3u8?key=txiptv&playlive=1&authid=0
烟台公共,http://183.234.143.5:85/tsfile/live/1068_1.m3u8?key=txiptv&playlive=1&authid=0
山东综艺(电信),http://183.234.143.5:85/tsfile/live/1071_1.m3u8?key=txiptv&playlive=1&authid=0
山东新闻(电信高清),http://183.234.143.5:85/tsfile/live/1070_1.m3u8?key=txiptv&playlive=1&authid=0
上海新闻,http://183.234.143.5:85/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
嘉佳卡通,http://183.234.143.5:85/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
卡酷卡通,http://183.234.143.5:85/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
湖南公共,http://183.234.143.5:85/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
家庭影院,http://183.234.143.5:85/tsfile/live/1028_1.m3u8?key=txiptv&playlive=1&authid=0
湖南经视,http://183.234.143.5:85/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
湖南都市,http://183.234.143.5:85/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
金鹰卡通,http://183.234.143.5:85/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
