央视,#genre#
CCTV3,http://118.79.62.23:85/tsfile/live/1015_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV1,http://118.79.62.23:85/tsfile/live/1013_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5,http://118.79.62.23:85/tsfile/live/1017_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV9,http://118.79.62.23:85/tsfile/live/1021_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV7,http://118.79.62.23:85/tsfile/live/1019_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV12,http://118.79.62.23:85/tsfile/live/1024_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV6,http://118.79.62.23:85/tsfile/live/1018_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV8,http://118.79.62.23:85/tsfile/live/1020_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2,http://118.79.62.23:85/tsfile/live/1014_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV14,http://118.79.62.23:85/tsfile/live/1026_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV11,http://118.79.62.23:85/tsfile/live/1023_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV13,http://118.79.62.23:85/tsfile/live/1025_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV15,http://118.79.62.23:85/tsfile/live/1027_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV10,http://118.79.62.23:85/tsfile/live/1022_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2,http://118.79.62.23:85/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://118.79.62.23:85/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://118.79.62.23:85/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://118.79.62.23:85/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://118.79.62.23:85/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://118.79.62.23:85/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV17,http://118.79.62.23:85/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV老故事,http://118.79.62.23:85/tsfile/live/1070_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV17,http://118.79.62.23:85/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0
卫视,#genre#
北京卫视,http://118.79.62.23:85/tsfile/live/1028_1.m3u8?key=txiptv&playlive=0&authid=0
安徽卫视,http://118.79.62.23:85/tsfile/live/1032_1.m3u8?key=txiptv&playlive=0&authid=0
东南卫视,http://118.79.62.23:85/tsfile/live/1042_1.m3u8?key=txiptv&playlive=0&authid=0
江苏卫视,http://118.79.62.23:85/tsfile/live/1029_1.m3u8?key=txiptv&playlive=0&authid=0
东方卫视,http://118.79.62.23:85/tsfile/live/1030_1.m3u8?key=txiptv&playlive=0&authid=0
四川卫视,http://118.79.62.23:85/tsfile/live/1035_1.m3u8?key=txiptv&playlive=0&authid=0
江西卫视,http://118.79.62.23:85/tsfile/live/1036_1.m3u8?key=txiptv&playlive=0&authid=0
天津卫视,http://118.79.62.23:85/tsfile/live/1040_1.m3u8?key=txiptv&playlive=0&authid=0
广东卫视,http://118.79.62.23:85/tsfile/live/1034_1.m3u8?key=txiptv&playlive=0&authid=0
山东卫视,http://118.79.62.23:85/tsfile/live/1038_1.m3u8?key=txiptv&playlive=0&authid=0
河南卫视,http://118.79.62.23:85/tsfile/live/1043_1.m3u8?key=txiptv&playlive=0&authid=0
湖北卫视,http://118.79.62.23:85/tsfile/live/1044_1.m3u8?key=txiptv&playlive=0&authid=0
湖南卫视,http://118.79.62.23:85/tsfile/live/1031_1.m3u8?key=txiptv&playlive=0&authid=0
重庆卫视,http://118.79.62.23:85/tsfile/live/1033_1.m3u8?key=txiptv&playlive=0&authid=0
贵州卫视,http://118.79.62.23:85/tsfile/live/1037_1.m3u8?key=txiptv&playlive=0&authid=0
三沙卫视,http://118.79.62.23:85/tsfile/live/1002_1.m3u8?key=txiptv&playlive=0&authid=0
海南卫视,http://118.79.62.23:85/tsfile/live/1001_1.m3u8?key=txiptv&playlive=0&authid=0
东方卫视,http://118.79.62.23:85/tsfile/live/1045_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://118.79.62.23:85/tsfile/live/1033_1.m3u8?key=txiptv&playlive=1&authid=0
吉林卫视,http://118.79.62.23:85/tsfile/live/1049_1.m3u8?key=txiptv&playlive=1&authid=0
内蒙卫视,http://118.79.62.23:85/tsfile/live/1050_1.m3u8?key=txiptv&playlive=1&authid=0
东南卫视,http://118.79.62.23:85/tsfile/live/1047_1.m3u8?key=txiptv&playlive=1&authid=0
天津卫视,http://118.79.62.23:85/tsfile/live/1034_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视,http://118.79.62.23:85/tsfile/live/1036_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://118.79.62.23:85/tsfile/live/1040_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://118.79.62.23:85/tsfile/live/1032_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://118.79.62.23:85/tsfile/live/1048_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://118.79.62.23:85/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://118.79.62.23:85/tsfile/live/1043_1.m3u8?key=txiptv&playlive=1&authid=0
河北卫视,http://118.79.62.23:85/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视,http://118.79.62.23:85/tsfile/live/1037_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://118.79.62.23:85/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视,http://118.79.62.23:85/tsfile/live/1041_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://118.79.62.23:85/tsfile/live/1042_1.m3u8?key=txiptv&playlive=1&authid=0
重庆卫视,http://118.79.62.23:85/tsfile/live/1046_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://118.79.62.23:85/tsfile/live/1044_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://118.79.62.23:85/tsfile/live/1035_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://118.79.62.23:85/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江卫视,http://118.79.62.23:85/tsfile/live/1039_1.m3u8?key=txiptv&playlive=1&authid=0
三沙卫视,http://118.79.62.23:85/tsfile/live/1031_1.m3u8?key=txiptv&playlive=1&authid=0
延边卫视,http://118.79.62.23:85/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
其他,#genre#
金鹰卡通,http://118.79.62.23:85/tsfile/live/1007_1.m3u8?key=txiptv&playlive=0&authid=0
广西新闻,http://118.79.62.23:85/tsfile/live/1006_1.m3u8?key=txiptv&playlive=0&authid=0
CCTN,http://118.79.62.23:85/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
BTV卡通少儿,http://118.79.62.23:85/tsfile/live/1051_1.m3u8?key=txiptv&playlive=1&authid=0
CETV-2,http://118.79.62.23:85/tsfile/live/1062_1.m3u8?key=txiptv&playlive=1&authid=0
CETV-4,http://118.79.62.23:85/tsfile/live/1082_1.m3u8?key=txiptv&playlive=1&authid=0
中国交通,http://118.79.62.23:85/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
国学频道,http://118.79.62.23:85/tsfile/live/1073_1.m3u8?key=txiptv&playlive=1&authid=0
山东教育,http://118.79.62.23:85/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&authid=0
早期教育,http://118.79.62.23:85/tsfile/live/1081_1.m3u8?key=txiptv&playlive=1&authid=0
文物宝库,http://118.79.62.23:85/tsfile/live/1072_1.m3u8?key=txiptv&playlive=1&authid=0
怀旧剧场,http://118.79.62.23:85/tsfile/live/1063_1.m3u8?key=txiptv&playlive=1&authid=0
武术世界,http://118.79.62.23:85/tsfile/live/1067_1.m3u8?key=txiptv&playlive=1&authid=0
河北影视,http://118.79.62.23:85/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
河北少儿,http://118.79.62.23:85/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
