央视,#genre#
CCTV7,http://139.227.221.147:85/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2,http://139.227.221.147:85/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV6,http://139.227.221.147:85/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV9,http://139.227.221.147:85/tsfile/live/0009_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV3,http://139.227.221.147:85/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV11,http://139.227.221.147:85/tsfile/live/0011_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV13,http://139.227.221.147:85/tsfile/live/0013_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV10,http://139.227.221.147:85/tsfile/live/0010_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV12,http://139.227.221.147:85/tsfile/live/0012_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV15,http://139.227.221.147:85/tsfile/live/0015_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV14,http://139.227.221.147:85/tsfile/live/0014_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2,http://139.227.221.147:85/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://139.227.221.147:85/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://139.227.221.147:85/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://139.227.221.147:85/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://139.227.221.147:85/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://139.227.221.147:85/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://139.227.221.147:85/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://139.227.221.147:85/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://139.227.221.147:85/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://139.227.221.147:85/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://139.227.221.147:85/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://139.227.221.147:85/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://139.227.221.147:85/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://139.227.221.147:85/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://139.227.221.147:85/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://139.227.221.147:85/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
卫视,#genre#
东方卫视,http://139.227.221.147:85/tsfile/live/0107_1.m3u8?key=txiptv&playlive=0&authid=0
东南卫视,http://139.227.221.147:85/tsfile/live/0137_1.m3u8?key=txiptv&playlive=0&authid=0
北京卫视,http://139.227.221.147:85/tsfile/live/0122_1.m3u8?key=txiptv&playlive=0&authid=0
山东卫视,http://139.227.221.147:85/tsfile/live/0131_1.m3u8?key=txiptv&playlive=0&authid=0
安徽卫视,http://139.227.221.147:85/tsfile/live/0130_1.m3u8?key=txiptv&playlive=0&authid=0
广东卫视,http://139.227.221.147:85/tsfile/live/0125_1.m3u8?key=txiptv&playlive=0&authid=0
天津卫视,http://139.227.221.147:85/tsfile/live/0135_1.m3u8?key=txiptv&playlive=0&authid=0
江苏卫视,http://139.227.221.147:85/tsfile/live/0127_1.m3u8?key=txiptv&playlive=0&authid=0
河北卫视,http://139.227.221.147:85/tsfile/live/0117_1.m3u8?key=txiptv&playlive=0&authid=0
浙江卫视,http://139.227.221.147:85/tsfile/live/0124_1.m3u8?key=txiptv&playlive=0&authid=0
海南卫视,http://139.227.221.147:85/tsfile/live/1001_1.m3u8?key=txiptv&playlive=0&authid=0
深圳卫视,http://139.227.221.147:85/tsfile/live/0126_1.m3u8?key=txiptv&playlive=0&authid=0
湖北卫视,http://139.227.221.147:85/tsfile/live/0132_1.m3u8?key=txiptv&playlive=0&authid=0
湖南卫视,http://139.227.221.147:85/tsfile/live/0128_1.m3u8?key=txiptv&playlive=0&authid=0
辽宁卫视,http://139.227.221.147:85/tsfile/live/0121_1.m3u8?key=txiptv&playlive=0&authid=0
重庆卫视,http://139.227.221.147:85/tsfile/live/0142_1.m3u8?key=txiptv&playlive=0&authid=0
上海卫视,http://139.227.221.147:85/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://139.227.221.147:85/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://139.227.221.147:85/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://139.227.221.147:85/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视,http://139.227.221.147:85/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://139.227.221.147:85/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
东南卫视,http://139.227.221.147:85/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://139.227.221.147:85/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://139.227.221.147:85/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0
山西卫视,http://139.227.221.147:85/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0
延边卫视,http://139.227.221.147:85/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://139.227.221.147:85/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
河北卫视,http://139.227.221.147:85/tsfile/live/0117_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://139.227.221.147:85/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://139.227.221.147:85/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://139.227.221.147:85/tsfile/live/0114_1.m3u8?key=txiptv&playlive=1&authid=0
陕西卫视,http://139.227.221.147:85/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0
青海卫视,http://139.227.221.147:85/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0
旅游卫视,http://139.227.221.147:85/tsfile/live/0114_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://139.227.221.147:85/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0
天津卫视,http://139.227.221.147:85/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0
重庆卫视,http://139.227.221.147:85/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0
其他,#genre#
晴彩河北,http://139.227.221.147:85/tsfile/live/0114_1.m3u8?key=txiptv&playlive=1&authid=0
湖南都市,http://139.227.221.147:85/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
