更新时间,#genre#
,2026-08-22 01:08:48

📺央视电视台,#genre#
CCTV-1 [720P],http://74.91.26.218:82/live/cctv1hd.m3u8
CCTV-1 [720P],http://204.12.221.218:8181/3m1080p/cctv1.m3u8
CCTV-1 [720P],http://198.204.228.26/live/cctv1hd.m3u8
CCTV-1 [720P],http://38.75.136.137:98/gslb/dsdqbv/cctv1hd.m3u8?auth=test20251009
CCTV-1 [1080P],http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv1hd
CCTV-2 [720P],http://204.12.221.218:8181/3m1080p/cctv2.m3u8
CCTV-2 [720P],http://192.151.150.154/live/cctv2hd.m3u8
CCTV-2 [720P],http://198.204.228.26/live/cctv2hd.m3u8
CCTV-2 [720P],http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv2hd
CCTV-2 [720P],http://107.150.60.122/live/cctv2hd.m3u8
CCTV-3 [720P],http://74.91.26.218:82/live/cctv3hd.m3u8
CCTV-3 [720P],http://198.204.228.26/live/cctv3hd.m3u8
CCTV-3 [720P],http://38.75.136.137:98/gslb/dsdqbv/cctv3hd.m3u8?auth=test20251009
CCTV-3 [720P],http://107.150.60.122/live/cctv3hd.m3u8
CCTV-3 [1080P],http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv3hd
CCTV-4 [720P],http://38.75.136.137:98/gslb/dsdqpub/cctv4k.m3u8?auth=testpub
CCTV-4 [720P],http://207.56.13.146:81/cdnlive/cctv4.m3u8
CCTV-4 [720P],http://198.204.228.26/live/cctv4hd.m3u8
CCTV-4 [720P],http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv4hd
CCTV-4 [720P],http://107.150.60.122/live/cctv4hd.m3u8
CCTV-5 [720P],http://207.56.13.146:81/cdnlive/cctv5.m3u8
CCTV-5 [1080P],http://38.75.136.137:98/gslb/dsdqpub/cctv5hd.m3u8?auth=testpub
CCTV-5 [1080P],http://198.204.228.26/live/cctv5p.m3u8
CCTV-5 [1080P],http://38.75.136.137:98/gslb/dsdqpub/cctv5p.m3u8?auth=testpub
CCTV-5 [1080P],http://198.204.228.26/live/cctv5hd.m3u8
CCTV-5+ [720P],http://38.75.136.137:98/gslb/dsdqbv/cctv5p.m3u8?auth=test20251009
CCTV-6 [720P],http://69.30.245.50/live/cctv6.m3u8
CCTV-6 [720P],http://198.204.240.250:82/live/cctv6.m3u8
CCTV-6 [720P],http://198.204.228.26/live/cctv6hd.m3u8
CCTV-6 [1080P],http://74.91.26.218:82/live/cctv6hd.m3u8
CCTV-6 [720P],http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv6hd
CCTV-7 [720P],http://207.56.13.146:81/cdnlive/cctv7.m3u8
CCTV-7 [720P],http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv7hd
CCTV-7 [720P],http://69.30.245.50/live/cctv7.m3u8
CCTV-7 [720P],http://107.150.60.122/live/cctv7hd.m3u8
CCTV-7 [720P],http://198.204.228.26/live/cctv7hd.m3u8
CCTV-8 [720P],http://69.30.245.50/live/cctv8.m3u8
CCTV-8 [720P],http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv8hd
CCTV-8 [720P],http://207.56.13.146:81/cdnlive/cctv8.m3u8
CCTV-8 [1080P],http://38.75.136.137:98/gslb/dsdqpub/cctv8k.m3u8?auth=testpub
CCTV-8 [1080P],http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv8k
CCTV-9 [720P],http://74.91.26.218:82/live/cctv9hd.m3u8
CCTV-9 [720P],http://198.204.228.26/live/cctv9hd.m3u8
CCTV-9 [720P],http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv9hd
CCTV-9 [720P],http://192.151.150.154/live/cctv9hd.m3u8
CCTV-9 [720P],http://69.30.245.50/live/cctv9.m3u8
CCTV-10 [720P],http://198.204.228.26/live/cctv10hd.m3u8
CCTV-10 [720P],http://74.91.26.218:82/live/cctv10hd.m3u8
CCTV-10 [1080P],http://204.12.221.218:8181/3m1080p/cctv10.m3u8
CCTV-10 [720P],http://38.75.136.137:98/gslb/dsdqbv/cctv10hd.m3u8?auth=test20251009
CCTV-10 [1080P],http://69.30.245.50/live/cctv10.m3u8
CCTV-11 [720P],http://74.91.26.218:82/live/cctv11hd.m3u8
CCTV-11 [1080P],http://204.12.221.218:8181/3m1080p/cctv11.m3u8
CCTV-11 [1080P],http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv11hd
CCTV-11 [1080P],http://38.75.136.137:98/gslb/dsdqpub/cctv11hd.m3u8?auth=testpub
CCTV-11 [720P],http://38.75.136.137:98/gslb/dsdqbv/cctv11hd.m3u8?auth=test20251009
CCTV-12 [720P],http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv12hd
