host,ip,port
45.207.192.132:9001,45.207.192.132,9001
https://27.185.23.7:8888,27.185.23.7,8888
31.58.50.44:5678,31.58.50.44,5678
https://tv.cr315.com,172.67.211.212,443
https://tv.xiaolancao.cn,8.219.194.253,443
tv.xiaolancao.cn,8.219.194.253,80
https://tv.lcc.cloudns.ch,8.219.194.253,443
tv.lcc.cloudns.ch,8.219.194.253,80
59.56.242.190:5678,59.56.242.190,5678
140.240.86.216:34567,140.240.86.216,34567
106.13.42.52:5678,106.13.42.52,5678
https://171.113.214.137:5678,171.113.214.137,5678
171.213.175.111:8009,171.213.175.111,8009
183.159.20.135:10000,183.159.20.135,10000
111.166.29.236:18080,111.166.29.236,18080
125.108.94.190:34567,125.108.94.190,34567
tvlive.995116.xyz,172.67.169.133,80
182.149.112.241:8000,182.149.112.241,8000
101.67.248.212:8008,101.67.248.212,8008
101.64.138.161:8000,101.64.138.161,8000
47.115.206.102:8000,47.115.206.102,8000
https://tvlive.louiskkk.dpdns.org,172.67.221.61,443
123.153.236.171:8081,123.153.236.171,8081
cj.wwwwww.fun:10001,101.68.112.13,10001
ad.wwwwww.fun:10001,101.68.112.13,10001
dx850fn.wwwwww.fun:10001,183.159.20.135,10001
lt250fn.wwwwww.fun:10001,101.68.112.13,10001
lt250fn.wwwwww.fun:10000,101.68.112.13,10000
112.92.89.95:8000,112.92.89.95,8000
59.39.224.138:8000,59.39.224.138,8000
218.71.243.108:8000,218.71.243.108,8000
114.66.18.74:8000,114.66.18.74,8000
https://iptv.tgrsync.xyz,172.67.206.207,443
27.191.88.49:8000,27.191.88.49,8000
154.64.249.4:5678,154.64.249.4,5678
58.38.124.26:8090,58.38.124.26,8090
114.218.79.38:8085,114.218.79.38,8085
101.64.138.195:8000,101.64.138.195,8000
39.88.111.132:8000,39.88.111.132,8000
125.40.221.114:8123,125.40.221.114,8123
117.90.219.154:8000,117.90.219.154,8000
182.149.113.28:8000,182.149.113.28,8000
43.254.166.233:8000,43.254.166.233,8000
cdanerda.com:5678,47.98.158.86,5678
121.232.159.64:8081,121.232.159.64,8081
218.71.242.197:8000,218.71.242.197,8000
47.76.189.60:8000,47.76.189.60,8000
https://iptv-api.horsenma.net,104.21.20.162,443
iptv-api.horsenma.net,104.21.20.162,80
121.57.227.203:9000,121.57.227.203,9000
157.0.54.197:8180,157.0.54.197,8180
183.141.150.41:88,183.141.150.41,88
183.132.244.138:8200,183.132.244.138,8200
183.129.82.48:10000,183.129.82.48,10000
152.32.191.65,152.32.191.65,80
125.108.87.199:34567,125.108.87.199,34567
1.203.110.121:34567,1.203.110.121,34567
114.218.79.93:8085,114.218.79.93,8085
dsxz.wwwwww.fun:10000,183.129.82.48,10000
111.162.28.201:5678,111.162.28.201,5678
158.101.1.61:8444,158.101.1.61,8444
119.29.230.133:8000,119.29.230.133,8000
