host,ip,port
125.108.65.28:34567,125.108.65.28,34567
122.139.178.9:8000,122.139.178.9,8000
114.250.84.209:34567,114.250.84.209,34567
58.38.124.17:8090,58.38.124.17,8090
115.58.129.220:34567,115.58.129.220,34567
222.137.36.103:34567,222.137.36.103,34567
101.68.112.100:10000,101.68.112.100,10000
https://115.196.23.131:9001,115.196.23.131,9001
182.139.80.224:8000,182.139.80.224,8000
182.139.80.70:8000,182.139.80.70,8000
60.176.232.164:10002,60.176.232.164,10002
60.176.232.164:10001,60.176.232.164,10001
134.175.180.31:8080,134.175.180.31,8080
171.222.143.58:7080,171.222.143.58,7080
222.76.74.178:5678,222.76.74.178,5678
121.239.153.6:8085,121.239.153.6,8085
112.80.176.26:18000,112.80.176.26,18000
60.168.244.44:34567,60.168.244.44,34567
122.234.31.19:10000,122.234.31.19,10000
www.20060307.xyz:8000,101.64.139.146,8000
20060307.xyz:8000,101.64.139.146,8000
182.139.80.149:8000,182.139.80.149,8000
182.139.80.228:8000,182.139.80.228,8000
27.191.89.203:8000,27.191.89.203,8000
122.234.31.19:10002,122.234.31.19,10002
120.34.132.175:8000,120.34.132.175,8000
27.195.195.54:8000,27.195.195.54,8000
8.130.66.122:1080,8.130.66.122,1080
122.234.31.19:10001,122.234.31.19,10001
112.247.180.157:8000,112.247.180.157,8000
119.166.112.94:8000,119.166.112.94,8000
59.110.213.237:34567,59.110.213.237,34567
117.83.165.143:8085,117.83.165.143,8085
https://tv.114.ae,172.67.212.208,443
https://iptv.114.ae,172.67.212.208,443
222.137.39.238:34567,222.137.39.238,34567
113.89.244.40:18001,113.89.244.40,18001
221.230.219.25:8881,221.230.219.25,8881
221.230.219.25:8882,221.230.219.25,8882
220.191.13.31:10000,220.191.13.31,10000
https://125.121.49.93:9001,125.121.49.93,9001
114.250.89.124:34567,114.250.89.124,34567
115.58.129.107:34567,115.58.129.107,34567
155.248.215.215,155.248.215.215,80
222.162.159.232:8888,222.162.159.232,8888
219.143.132.145:34567,219.143.132.145,34567
115.171.118.56:8884,115.171.118.56,8884
220.191.13.31:10001,220.191.13.31,10001
125.116.211.26:8200,125.116.211.26,8200
221.225.30.55:8085,221.225.30.55,8085
123.185.228.66:9002,123.185.228.66,9002
119.100.147.173:8010,119.100.147.173,8010
119.100.147.171:8010,119.100.147.171,8010
140.240.84.136:34567,140.240.84.136,34567
111.162.205.37:32769,111.162.205.37,32769
125.108.115.72:34567,125.108.115.72,34567
182.149.113.203:8000,182.149.113.203,8000
101.64.139.146:8000,101.64.139.146,8000
27.191.81.225:8000,27.191.81.225,8000
115.198.32.24:10001,115.198.32.24,10001
59.39.252.184:8000,59.39.252.184,8000
49.85.205.56:8085,49.85.205.56,8085
146.56.144.30:8000,146.56.144.30,8000
115.58.131.101:34567,115.58.131.101,34567
222.79.40.76:5678,222.79.40.76,5678
www.12138.top:8001,125.113.249.71,8001
152.136.123.39:8001,152.136.123.39,8001
183.158.132.177:10000,183.158.132.177,10000
222.137.96.41:8008,222.137.96.41,8008
183.158.132.177:10001,183.158.132.177,10001
121.57.227.4:9000,121.57.227.4,9000
222.162.159.52:8888,222.162.159.52,8888
221.230.219.40:8881,221.230.219.40,8881
125.108.137.212:34567,125.108.137.212,34567
221.220.33.170:3000,221.220.33.170,3000
119.100.147.237:8010,119.100.147.237,8010
140.240.83.178:34567,140.240.83.178,34567
171.213.148.131:7080,171.213.148.131,7080
171.221.12.215:8000,171.221.12.215,8000
27.191.82.23:8000,27.191.82.23,8000
47.93.12.158:8000,47.93.12.158,8000
218.71.242.214:8000,218.71.242.214,8000
101.64.138.205:8000,101.64.138.205,8000
112.92.90.182:8000,112.92.90.182,8000
27.195.169.203:8000,27.195.169.203,8000
121.239.245.249:8085,121.239.245.249,8085
129.80.148.73:8000,129.80.148.73,8000
115.58.131.174:34567,115.58.131.174,34567
123.60.182.58:8000,123.60.182.58,8000
122.233.25.123:10001,122.233.25.123,10001
122.233.25.123:10000,122.233.25.123,10000
117.90.220.109:8000,117.90.220.109,8000
180.158.183.196:8000,180.158.183.196,8000
183.162.104.241:34567,183.162.104.241,34567
117.8.142.177:32769,117.8.142.177,32769
115.171.118.38:8884,115.171.118.38,8884
180.113.251.48:34567,180.113.251.48,34567
123.112.17.238:8010,123.112.17.238,8010
119.100.145.112:8010,119.100.145.112,8010
1.203.111.162:34567,1.203.111.162,34567
221.220.15.194:8001,221.220.15.194,8001
112.111.32.250:8008,112.111.32.250,8008
222.137.97.205:8008,222.137.97.205,8008
125.108.74.79:34567,125.108.74.79,34567
183.155.109.250:8001,183.155.109.250,8001
49.75.237.252:34567,49.75.237.252,34567
140.237.39.249:34567,140.237.39.249,34567
https://183.156.150.13:9001,183.156.150.13,9001
125.110.215.128:1234,125.110.215.128,1234
142.171.27.109:3190,142.171.27.109,3190
https://124.71.4.178:6004,124.71.4.178,6004
27.42.75.175:8000,27.42.75.175,8000
220.191.94.127:10001,220.191.94.127,10001
125.108.67.113:34567,125.108.67.113,34567
220.191.94.127:10000,220.191.94.127,10000
119.190.135.72:8000,119.190.135.72,8000
112.255.4.103:8000,112.255.4.103,8000
27.191.82.70:8000,27.191.82.70,8000
124.70.191.118:8000,124.70.191.118,8000
58.209.192.221:8085,58.209.192.221,8085
101.64.138.182:8000,101.64.138.182,8000
27.191.90.94:8000,27.191.90.94,8000
116.4.41.170:8000,116.4.41.170,8000
121.89.241.254:8000,121.89.241.254,8000
182.148.3.13:8000,182.148.3.13,8000
218.86.23.150:8000,218.86.23.150,8000
171.213.44.51:8000,171.213.44.51,8000
183.128.242.104:10001,183.128.242.104,10001
101.68.112.251:10002,101.68.112.251,10002
183.128.242.104:10002,183.128.242.104,10002
183.128.242.104:10000,183.128.242.104,10000
61.146.163.15:8001,61.146.163.15,8001
101.68.112.251:10000,101.68.112.251,10000
117.81.108.162:8085,117.81.108.162,8085
121.57.228.35:9000,121.57.228.35,9000
124.77.190.6:8000,124.77.190.6,8000
58.245.86.239:8888,58.245.86.239,8888
117.8.141.215:32769,117.8.141.215,32769
183.158.104.154:10000,183.158.104.154,10000
171.213.44.197:8000,171.213.44.197,8000
171.221.12.50:8000,171.221.12.50,8000
125.110.218.142:1234,125.110.218.142,1234
112.92.89.83:8000,112.92.89.83,8000
116.147.106.181:18000,116.147.106.181,18000
27.157.58.22:8000,27.157.58.22,8000
59.39.196.141:8000,59.39.196.141,8000
27.191.82.131:8000,27.191.82.131,8000
113.89.244.210:18001,113.89.244.210,18001
101.64.139.242:8000,101.64.139.242,8000
60.16.186.215:8000,60.16.186.215,8000
103.72.62.115:280,103.72.62.115,280
120.40.161.117:8000,120.40.161.117,8000
183.156.232.17:10000,183.156.232.17,10000
183.156.232.17:10001,183.156.232.17,10001
61.146.163.83:8001,61.146.163.83,8001
222.137.96.253:8008,222.137.96.253,8008
60.182.166.182:8001,60.182.166.182,8001
27.191.90.139:8000,27.191.90.139,8000
115.57.206.203:8008,115.57.206.203,8008
139.155.91.142:8888,139.155.91.142,8888
125.108.69.221:34567,125.108.69.221,34567
https://218.72.79.10:9001,218.72.79.10,9001
219.140.6.232:18081,219.140.6.232,18081
119.91.70.17:3082,119.91.70.17,3082
139.208.231.175:8888,139.208.231.175,8888
117.8.141.220:32769,117.8.141.220,32769
183.158.56.101:10000,183.158.56.101,10000
120.244.97.184:34567,120.244.97.184,34567
27.16.173.138:3079,27.16.173.138,3079
112.120.30.96:3079,112.120.30.96,3079
220.190.24.246:3079,220.190.24.246,3079
120.5.206.30:3079,120.5.206.30,3079
27.191.90.159:8000,27.191.90.159,8000
221.225.219.82:34567,221.225.219.82,34567
110.42.45.58:5631,110.42.45.58,5631
59.173.120.174:8125,59.173.120.174,8125
101.64.138.46:8000,101.64.138.46,8000
155.248.170.255:8086,155.248.170.255,8086
119.100.145.92:8010,119.100.145.92,8010
59.39.226.47:8000,59.39.226.47,8000
27.191.90.176:8000,27.191.90.176,8000
113.121.35.108:8000,113.121.35.108,8000
120.32.4.130:8000,120.32.4.130,8000
27.42.72.59:8000,27.42.72.59,8000
114.216.31.68:8001,114.216.31.68,8001
182.46.42.99:8000,182.46.42.99,8000
182.149.113.67:8000,182.149.113.67,8000
ivan4125.synology.me:8000,113.224.84.231,8000
113.224.84.231:8000,113.224.84.231,8000
115.171.118.114:8884,115.171.118.114,8884
119.100.146.105:8010,119.100.146.105,8010
180.113.157.150:34567,180.113.157.150,34567
125.110.235.120:5700,125.110.235.120,5700
182.149.112.5:8000,182.149.112.5,8000
115.60.200.125:8008,115.60.200.125,8008
115.57.205.159:8008,115.57.205.159,8008
221.8.212.197:8888,221.8.212.197,8888
14.216.223.90:9000,14.216.223.90,9000
113.89.244.226:18001,113.89.244.226,18001
49.85.123.208:8881,49.85.123.208,8881
114.249.2.4:3000,114.249.2.4,3000
27.191.82.218:8000,27.191.82.218,8000
27.42.73.45:8000,27.42.73.45,8000
220.190.65.158:34567,220.190.65.158,34567
59.110.238.67:8000,59.110.238.67,8000
119.180.143.9:8000,119.180.143.9,8000
59.39.227.107:8000,59.39.227.107,8000
149.104.26.119:8000,149.104.26.119,8000
113.232.66.202:8000,113.232.66.202,8000
119.100.146.2:8010,119.100.146.2,8010
119.100.146.130:8010,119.100.146.130,8010
117.90.231.5:8000,117.90.231.5,8000
171.212.81.78:8000,171.212.81.78,8000
27.152.55.186:8000,27.152.55.186,8000
113.89.244.156:18001,113.89.244.156,18001
220.191.102.216:10000,220.191.102.216,10000
182.127.153.9:8088,182.127.153.9,8088
115.57.204.245:8008,115.57.204.245,8008
101.30.12.92:8181,101.30.12.92,8181
58.208.215.176:34567,58.208.215.176,34567
114.254.177.114:8001,114.254.177.114,8001
122.244.35.121:8200,122.244.35.121,8200
121.57.225.40:9000,121.57.225.40,9000
182.125.114.133:8880,182.125.114.133,8880
183.156.74.233:10000,183.156.74.233,10000
122.244.46.143:8200,122.244.46.143,8200
