# ==========================================
# 📺 HLS类直播源聚合总表 (含ZHGXTV接口智能补全与中文纠错)
# ==========================================

183.129.255.66:8480,#genre#
湖北卫视,http://112.27.235.94:8000/hls/41/index.m3u8
湖南卫视,http://112.27.235.94:8000/hls/31/index.m3u8
贵州卫视,http://112.27.235.94:8000/hls/46/index.m3u8
辽宁卫视,http://112.27.235.94:8000/hls/47/index.m3u8
重庆卫视,http://112.27.235.94:8000/hls/36/index.m3u8
陕西卫视,http://112.27.235.94:8000/hls/43/index.m3u8
黑龙江卫视,http://112.27.235.94:8000/hls/48/index.m3u8
е®үеҫҪеҪұи§Ҷ,http://112.27.235.94:8000/hls/24/index.m3u8
е®үеҫҪз»јиүәдҪ“иӮІ,http://112.27.235.94:8000/hls/25/index.m3u8
еҗҲиӮҘж–°й—»,http://112.27.235.94:8000/hls/18/index.m3u8
中央新影-老故事,http://112.27.235.94:8000/hls/50/index.m3u8
新闻综合,http://112.27.235.94:8000/hls/21/index.m3u8

222.223.41.27:8888,#genre#
CCTV-1,http://222.223.41.27:8888/hls/1/index.m3u8
CCTV-2,http://222.223.41.27:8888/hls/2/index.m3u8
CCTV-3,http://222.223.41.27:8888/hls/3/index.m3u8
CCTV-4,http://222.223.41.27:8888/hls/4/index.m3u8
CCTV-5,http://222.223.41.27:8888/hls/5/index.m3u8
CCTV-6,http://222.223.41.27:8888/hls/6/index.m3u8
CCTV-7,http://222.223.41.27:8888/hls/7/index.m3u8
CCTV-8,http://222.223.41.27:8888/hls/8/index.m3u8
CCTV-9,http://222.223.41.27:8888/hls/9/index.m3u8
CCTV-10,http://222.223.41.27:8888/hls/10/index.m3u8
CCTV-11,http://222.223.41.27:8888/hls/11/index.m3u8
CCTV-12,http://222.223.41.27:8888/hls/12/index.m3u8
CCTV-13,http://222.223.41.27:8888/hls/13/index.m3u8
CCTV-14,http://222.223.41.27:8888/hls/14/index.m3u8
CCTV-15,http://222.223.41.27:8888/hls/15/index.m3u8
东南卫视,http://222.223.41.27:8888/hls/44/index.m3u8
东方卫视,http://222.223.41.27:8888/hls/42/index.m3u8
北京卫视,http://222.223.41.27:8888/hls/31/index.m3u8
吉林卫视,http://222.223.41.27:8888/hls/47/index.m3u8
四川卫视,http://222.223.41.27:8888/hls/37/index.m3u8
天津卫视,http://222.223.41.27:8888/hls/32/index.m3u8
安徽卫视,http://222.223.41.27:8888/hls/30/index.m3u8
山东卫视,http://222.223.41.27:8888/hls/34/index.m3u8
广东卫视,http://222.223.41.27:8888/hls/45/index.m3u8
广西卫视,http://222.223.41.27:8888/hls/46/index.m3u8
江苏卫视,http://222.223.41.27:8888/hls/29/index.m3u8
江西卫视,http://222.223.41.27:8888/hls/38/index.m3u8
河北卫视,http://222.223.41.27:8888/hls/16/index.m3u8
河南卫视,http://222.223.41.27:8888/hls/36/index.m3u8
浙江卫视,http://222.223.41.27:8888/hls/28/index.m3u8
深圳卫视,http://222.223.41.27:8888/hls/40/index.m3u8
湖北卫视,http://222.223.41.27:8888/hls/41/index.m3u8
湖南卫视,http://222.223.41.27:8888/hls/27/index.m3u8
贵州卫视,http://222.223.41.27:8888/hls/39/index.m3u8
辽宁卫视,http://222.223.41.27:8888/hls/33/index.m3u8
重庆卫视,http://222.223.41.27:8888/hls/43/index.m3u8
дә‘еҚ—еҚ«и§Ҷ,http://222.223.41.27:8888/hls/35/index.m3u8
еҶ…и’ҷеҸӨеҚ«и§Ҷ,http://222.223.41.27:8888/hls/49/index.m3u8
йқ’жө·еҚ«и§Ҷ,http://222.223.41.27:8888/hls/50/index.m3u8
йҷ•иҘҝеҚ«и§Ҷ,http://222.223.41.27:8888/hls/48/index.m3u8

1.190.240.47:9003,#genre#
CCTV-1,http://1.190.240.47:9003/hls/3019/index.m3u8
CCTV-1,http://1.190.240.47:9003/hls/3001/index.m3u8
CCTV-2,http://1.190.240.47:9003/hls/3002/index.m3u8
CCTV-2,http://1.190.240.47:9003/hls/3020/index.m3u8
CCTV-3,http://1.190.240.47:9003/hls/3003/index.m3u8
CCTV-4,http://1.190.240.47:9003/hls/3021/index.m3u8
CCTV-4,http://1.190.240.47:9003/hls/3004/index.m3u8
CCTV-5,http://1.190.240.47:9003/hls/3005/index.m3u8
CCTV-5+,http://1.190.240.47:9003/hls/3018/index.m3u8
CCTV-6,http://1.190.240.47:9003/hls/3006/index.m3u8
CCTV-7,http://1.190.240.47:9003/hls/3007/index.m3u8
CCTV-8,http://1.190.240.47:9003/hls/3008/index.m3u8
CCTV-9,http://1.190.240.47:9003/hls/3009/index.m3u8
CCTV-10,http://1.190.240.47:9003/hls/3010/index.m3u8
CCTV-11,http://1.190.240.47:9003/hls/3011/index.m3u8
CCTV-12,http://1.190.240.47:9003/hls/3012/index.m3u8
CCTV-14,http://1.190.240.47:9003/hls/3014/index.m3u8
CCTV-15,http://1.190.240.47:9003/hls/3015/index.m3u8
CCTV-16,http://1.190.240.47:9003/hls/3016/index.m3u8
CCTV-17,http://1.190.240.47:9003/hls/3017/index.m3u8
东南卫视,http://1.190.240.47:9003/hls/3060/index.m3u8
云南卫视,http://1.190.240.47:9003/hls/3062/index.m3u8
兵团卫视,http://1.190.240.47:9003/hls/3068/index.m3u8
内蒙古卫视,http://1.190.240.47:9003/hls/3069/index.m3u8
北京卫视,http://1.190.240.47:9003/hls/3044/index.m3u8
吉林卫视,http://1.190.240.47:9003/hls/3038/index.m3u8
四川卫视,http://1.190.240.47:9003/hls/3061/index.m3u8
天津卫视,http://1.190.240.47:9003/hls/3043/index.m3u8
安多卫视,http://1.190.240.47:9003/hls/2077/index.m3u8
安徽卫视,http://1.190.240.47:9003/hls/3054/index.m3u8
山东卫视,http://1.190.240.47:9003/hls/3041/index.m3u8
广东卫视,http://1.190.240.47:9003/hls/3055/index.m3u8
广西卫视,http://1.190.240.47:9003/hls/3057/index.m3u8
康巴卫视,http://1.190.240.47:9003/hls/2076/index.m3u8
延边卫视,http://1.190.240.47:9003/hls/3039/index.m3u8
新疆卫视,http://1.190.240.47:9003/hls/3071/index.m3u8
江苏卫视,http://1.190.240.47:9003/hls/3052/index.m3u8
江西卫视,http://1.190.240.47:9003/hls/3053/index.m3u8
河南卫视,http://1.190.240.47:9003/hls/3050/index.m3u8
浙江卫视,http://1.190.240.47:9003/hls/3059/index.m3u8
海南卫视,http://1.190.240.47:9003/hls/3066/index.m3u8
海南卫视,http://1.190.240.47:9003/hls/3072/index.m3u8
深圳卫视,http://1.190.240.47:9003/hls/3056/index.m3u8
湖北卫视,http://1.190.240.47:9003/hls/3049/index.m3u8
湖南卫视,http://1.190.240.47:9003/hls/3048/index.m3u8
甘肃卫视,http://1.190.240.47:9003/hls/3064/index.m3u8
西藏卫视,http://1.190.240.47:9003/hls/3070/index.m3u8
贵州卫视,http://1.190.240.47:9003/hls/3051/index.m3u8
辽宁卫视,http://1.190.240.47:9003/hls/3040/index.m3u8
重庆卫视,http://1.190.240.47:9003/hls/3063/index.m3u8
黑龙江卫视,http://1.190.240.47:9003/hls/3022/index.m3u8
дјҳжј«еҚЎйҖҡ,http://1.190.240.47:9003/hls/2073/index.m3u8
й»‘иҺ“еҠЁз”»,http://1.190.240.47:9003/hls/2072/index.m3u8
金鹰卡通,http://1.190.240.47:9003/hls/2074/index.m3u8
金鹰卡通,http://1.190.240.47:9003/hls/3075/index.m3u8

183.185.66.248:9003,#genre#
CCTV-1,http://183.185.66.248:9003/hls/1/index.m3u8
CCTV-2,http://183.185.66.248:9003/hls/2/index.m3u8
CCTV-3,http://183.185.66.248:9003/hls/3/index.m3u8
CCTV-4,http://183.185.66.248:9003/hls/4/index.m3u8
CCTV-5,http://183.185.66.248:9003/hls/5/index.m3u8
CCTV-5+,http://183.185.66.248:9003/hls/6/index.m3u8
CCTV-6,http://183.185.66.248:9003/hls/7/index.m3u8
CCTV-7,http://183.185.66.248:9003/hls/8/index.m3u8
CCTV-8,http://183.185.66.248:9003/hls/9/index.m3u8
CCTV-9,http://183.185.66.248:9003/hls/10/index.m3u8
CCTV-10,http://183.185.66.248:9003/hls/11/index.m3u8
CCTV-11,http://183.185.66.248:9003/hls/12/index.m3u8
CCTV-12,http://183.185.66.248:9003/hls/13/index.m3u8
CCTV-13,http://183.185.66.248:9003/hls/14/index.m3u8
CCTV-14,http://183.185.66.248:9003/hls/15/index.m3u8
CCTV-15,http://183.185.66.248:9003/hls/16/index.m3u8
CCTV-16,http://183.185.66.248:9003/hls/17/index.m3u8
CCTV-17,http://183.185.66.248:9003/hls/18/index.m3u8
东南卫视,http://183.185.66.248:9003/hls/24/index.m3u8
东方卫视,http://183.185.66.248:9003/hls/23/index.m3u8
内蒙古卫视,http://183.185.66.248:9003/hls/39/index.m3u8
北京卫视,http://183.185.66.248:9003/hls/20/index.m3u8
吉林卫视,http://183.185.66.248:9003/hls/34/index.m3u8
宁夏卫视,http://183.185.66.248:9003/hls/40/index.m3u8
安徽卫视,http://183.185.66.248:9003/hls/21/index.m3u8
广东卫视,http://183.185.66.248:9003/hls/26/index.m3u8
广西卫视,http://183.185.66.248:9003/hls/27/index.m3u8
江苏卫视,http://183.185.66.248:9003/hls/35/index.m3u8
江西卫视,http://183.185.66.248:9003/hls/36/index.m3u8
